,Survived,Pclass,Sex,Age,Fare,Embarked,title,companion
54,0,1st,male,65,62.0,Cherbourg,LR,1
55,1,1st,male,29,35.5,Southampton,LR,0
56,1,2nd,female,21,10.5,Southampton,LR,0
57,0,3rd,male,28,7.2,Cherbourg,LR,0
58,1,2nd,female,5,27.8,Southampton,LR,1
59,0,3rd,male,11,46.9,Southampton,HR,1
60,0,3rd,male,22,7.2,Cherbourg,LR,0
61,1,1st,female,38,80.0,Southampton,LR,0
62,0,1st,male,45,83.5,Southampton,LR,1
63,0,3rd,male,4,27.9,Southampton,HR,1
64,0,1st,male,29,27.7,Cherbourg,LR,0
65,1,3rd,male,29,15.2,Cherbourg,HR,1
66,1,2nd,female,29,10.5,Southampton,LR,0
67,0,3rd,male,19,8.2,Southampton,LR,0
68,1,3rd,female,17,7.9,Southampton,LR,1
69,0,3rd,male,26,8.7,Southampton,LR,1
70,0,2nd,male,32,10.5,Southampton,LR,0
71,0,3rd,female,16,46.9,Southampton,LR,1
72,0,2nd,male,21,73.5,Southampton,LR,0
73,0,3rd,male,26,14.5,Cherbourg,LR,1
74,1,3rd,male,32,56.5,Southampton,LR,0
75,0,3rd,male,25,7.7,Southampton,LR,0
76,0,3rd,male,29,7.9,Southampton,LR,0
77,0,3rd,male,29,8.1,Southampton,LR,0
78,1,2nd,male,0,29.0,Southampton,HR,1
79,1,3rd,female,30,12.5,Southampton,LR,0
80,0,3rd,male,22,9.0,Southampton,LR,0
81,1,3rd,male,29,9.5,Southampton,LR,0
82,1,3rd,female,29,7.8,Queenstown,LR,0
83,0,1st,male,28,47.1,Southampton,LR,0
84,1,2nd,female,17,10.5,Southampton,LR,0
85,1,3rd,female,33,15.8,Southampton,LR,1
86,0,3rd,male,16,34.4,Southampton,LR,1
87,0,3rd,male,29,8.1,Southampton,LR,0
88,1,1st,female,23,263.0,Southampton,LR,1
89,0,3rd,male,24,8.1,Southampton,LR,0
90,0,3rd,male,29,8.1,Southampton,LR,0
91,0,3rd,male,20,7.9,Southampton,LR,0
92,0,1st,male,46,61.2,Southampton,LR,1
93,0,3rd,male,26,20.6,Southampton,LR,1
94,0,3rd,male,59,7.2,Southampton,LR,0
95,0,3rd,male,29,8.1,Southampton,LR,0
96,0,1st,male,71,34.7,Cherbourg,LR,0
97,1,1st,male,23,63.4,Cherbourg,LR,1
98,1,2nd,female,34,23.0,Southampton,LR,1
99,0,2nd,male,34,26.0,Southampton,LR,1
100,0,3rd,female,28,7.9,Southampton,LR,0
101,0,3rd,male,29,7.9,Southampton,LR,0
102,0,1st,male,21,77.3,Southampton,LR,1
103,0,3rd,male,33,8.7,Southampton,LR,0
104,0,3rd,male,37,7.9,Southampton,LR,1
105,0,3rd,male,28,7.9,Southampton,LR,0
106,1,3rd,female,21,7.7,Southampton,LR,0
107,1,3rd,male,29,7.8,Southampton,LR,0
108,0,3rd,male,38,7.9,Southampton,LR,0
109,1,3rd,female,29,24.1,Queenstown,LR,1
110,0,1st,male,47,52.0,Southampton,LR,0
111,0,3rd,female,14,14.5,Cherbourg,LR,1
112,0,3rd,male,22,8.1,Southampton,LR,0
113,0,3rd,female,20,9.8,Southampton,LR,1
114,0,3rd,female,17,14.5,Cherbourg,LR,0
115,0,3rd,male,21,7.9,Southampton,LR,0
116,0,3rd,male,70,7.8,Queenstown,LR,0
117,0,2nd,male,29,21.0,Southampton,LR,1
118,0,1st,male,24,247.5,Cherbourg,LR,1
119,0,3rd,female,2,31.3,Southampton,LR,1
120,0,2nd,male,21,73.5,Southampton,LR,1
121,0,3rd,male,29,8.1,Southampton,LR,0
122,0,2nd,male,32,30.1,Cherbourg,LR,1
123,1,2nd,female,32,13.0,Southampton,LR,0
124,0,1st,male,54,77.3,Southampton,LR,1
125,1,3rd,male,12,11.2,Cherbourg,HR,1
126,0,3rd,male,29,7.8,Queenstown,LR,0
127,1,3rd,male,24,7.1,Southampton,LR,0
128,1,3rd,female,29,22.4,Cherbourg,LR,1
129,0,3rd,male,45,7.0,Southampton,LR,0
130,0,3rd,male,33,7.9,Cherbourg,LR,0
131,0,3rd,male,20,7.0,Southampton,LR,0
132,0,3rd,female,47,14.5,Southampton,LR,1
133,1,2nd,female,29,26.0,Southampton,LR,1
134,0,2nd,male,25,13.0,Southampton,LR,0
135,0,2nd,male,23,15.0,Cherbourg,LR,0
136,1,1st,female,19,26.3,Southampton,LR,1
137,0,1st,male,37,53.1,Southampton,LR,1
138,0,3rd,male,16,9.2,Southampton,LR,0
139,0,1st,male,24,79.2,Cherbourg,LR,0
140,0,3rd,female,29,15.2,Cherbourg,LR,1
141,1,3rd,female,22,7.8,Southampton,LR,0
142,1,3rd,female,24,15.8,Southampton,LR,1
143,0,3rd,male,19,6.8,Queenstown,LR,0
144,0,2nd,male,18,11.5,Southampton,LR,0
145,0,2nd,male,19,36.8,Southampton,LR,1
146,1,3rd,male,27,7.8,Southampton,LR,0
147,0,3rd,female,9,34.4,Southampton,LR,1
148,0,2nd,male,36,26.0,Southampton,LR,1
149,0,2nd,male,42,13.0,Southampton,HR,0
150,0,2nd,male,51,12.5,Southampton,HR,0
151,1,1st,female,22,66.6,Southampton,LR,1
152,0,3rd,male,55,8.1,Southampton,LR,0
153,0,3rd,male,40,14.5,Southampton,LR,1
154,0,3rd,male,29,7.3,Southampton,LR,0
155,0,1st,male,51,61.4,Cherbourg,LR,1
156,1,3rd,female,16,7.7,Queenstown,LR,0
157,0,3rd,male,30,8.1,Southampton,LR,0
158,0,3rd,male,29,8.7,Southampton,LR,0
159,0,3rd,male,29,69.5,Southampton,HR,1
160,0,3rd,male,44,16.1,Southampton,LR,1
161,1,2nd,female,40,15.8,Southampton,LR,0
162,0,3rd,male,26,7.8,Southampton,LR,0
163,0,3rd,male,17,8.7,Southampton,LR,0
164,0,3rd,male,1,39.7,Southampton,HR,1
165,1,3rd,male,9,20.5,Southampton,HR,1
166,1,1st,female,29,55.0,Southampton,LR,1
167,0,3rd,female,45,27.9,Southampton,LR,1
168,0,1st,male,29,25.9,Southampton,LR,0
169,0,3rd,male,28,56.5,Southampton,LR,0
170,0,1st,male,61,33.5,Southampton,LR,0
171,0,3rd,male,4,29.1,Queenstown,HR,1
172,1,3rd,female,1,11.1,Southampton,LR,1
173,0,3rd,male,21,7.9,Southampton,LR,0
174,0,1st,male,56,30.7,Cherbourg,LR,0
175,0,3rd,male,18,7.9,Southampton,LR,1
176,0,3rd,male,29,25.5,Southampton,HR,1
177,0,1st,female,50,28.7,Cherbourg,LR,0
178,0,2nd,male,30,13.0,Southampton,LR,0
179,0,3rd,male,36,0.0,Southampton,LR,0
180,0,3rd,female,29,69.5,Southampton,LR,1
181,0,2nd,male,29,15.1,Cherbourg,LR,0
182,0,3rd,male,9,31.4,Southampton,HR,1
183,1,2nd,male,1,39.0,Southampton,HR,1
184,1,3rd,female,4,22.0,Southampton,LR,1
185,0,1st,male,29,50.0,Southampton,LR,0
186,1,3rd,female,29,15.5,Queenstown,LR,1
187,1,1st,male,45,26.6,Southampton,LR,0
188,0,3rd,male,40,15.5,Queenstown,LR,1
189,0,3rd,male,36,7.9,Southampton,LR,0
190,1,2nd,female,32,13.0,Southampton,LR,0
191,0,2nd,male,19,13.0,Southampton,LR,0
192,1,3rd,female,19,7.9,Southampton,LR,1
193,1,2nd,male,3,26.0,Southampton,HR,1
194,1,1st,female,44,27.7,Cherbourg,LR,0
195,1,1st,female,58,146.5,Cherbourg,LR,0
196,0,3rd,male,29,7.8,Queenstown,LR,0
197,0,3rd,male,42,8.4,Southampton,LR,1
198,1,3rd,female,29,7.8,Queenstown,LR,0
199,0,2nd,female,24,13.0,Southampton,LR,0
200,0,3rd,male,28,9.5,Southampton,LR,0
201,0,3rd,male,29,69.5,Southampton,LR,1
202,0,3rd,male,34,6.5,Southampton,LR,0
203,0,3rd,male,45,7.2,Cherbourg,LR,0
204,1,3rd,male,18,8.1,Southampton,LR,0
205,0,3rd,female,2,10.5,Southampton,LR,1
206,0,3rd,male,32,15.8,Southampton,LR,1
207,1,3rd,male,26,18.8,Cherbourg,LR,0
208,1,3rd,female,16,7.8,Queenstown,LR,0
209,1,1st,male,40,31.0,Cherbourg,LR,0
210,0,3rd,male,24,7.0,Southampton,LR,0
211,1,2nd,female,35,21.0,Southampton,LR,0
212,0,3rd,male,22,7.2,Southampton,LR,0
213,0,2nd,male,30,13.0,Southampton,LR,0
214,0,3rd,male,29,7.8,Queenstown,LR,1
215,1,1st,female,31,113.3,Cherbourg,LR,1
216,1,3rd,female,27,7.9,Southampton,LR,0
217,0,2nd,male,42,27.0,Southampton,LR,1
218,1,1st,female,32,76.3,Cherbourg,LR,0
219,0,2nd,male,30,10.5,Southampton,LR,0
220,1,3rd,male,16,8.1,Southampton,LR,0
221,0,2nd,male,27,13.0,Southampton,LR,0
222,0,3rd,male,51,8.1,Southampton,LR,0
223,0,3rd,male,29,7.9,Southampton,LR,0
224,1,1st,male,38,90.0,Southampton,LR,1
225,0,3rd,male,22,9.3,Southampton,LR,0
226,1,2nd,male,19,10.5,Southampton,LR,0
227,0,3rd,male,20,7.2,Southampton,LR,0
228,0,2nd,male,18,13.0,Southampton,LR,0
229,0,3rd,female,29,25.5,Southampton,LR,1
230,1,1st,female,35,83.5,Southampton,LR,1
231,0,3rd,male,29,7.8,Southampton,LR,0
232,0,2nd,male,59,13.5,Southampton,LR,0
233,1,3rd,female,5,31.4,Southampton,LR,1
234,0,2nd,male,24,10.5,Southampton,LR,0
235,0,3rd,female,29,7.5,Southampton,LR,0
236,0,2nd,male,44,26.0,Southampton,LR,1
237,1,2nd,female,8,26.2,Southampton,LR,1
238,0,2nd,male,19,10.5,Southampton,LR,0
239,0,2nd,male,33,12.3,Southampton,LR,0
240,0,3rd,female,29,14.5,Cherbourg,LR,1
241,1,3rd,female,29,15.5,Queenstown,LR,1
242,0,2nd,male,29,10.5,Southampton,LR,0
243,0,3rd,male,22,7.1,Southampton,LR,0
244,0,3rd,male,30,7.2,Cherbourg,LR,0
245,0,1st,male,44,90.0,Queenstown,HR,1
246,0,3rd,female,25,7.8,Southampton,LR,0
247,1,2nd,female,24,14.5,Southampton,LR,1
248,1,1st,male,37,52.6,Southampton,LR,1
249,0,2nd,male,54,26.0,Southampton,HR,1
250,0,3rd,male,29,7.2,Southampton,LR,0
251,0,3rd,female,29,10.5,Southampton,LR,1
252,0,1st,male,62,26.6,Southampton,LR,0
253,0,3rd,male,30,16.1,Southampton,LR,1
254,0,3rd,female,41,20.2,Southampton,LR,1
255,1,3rd,female,29,15.2,Cherbourg,LR,1
256,1,1st,female,29,79.2,Cherbourg,LR,0
257,1,1st,female,30,86.5,Southampton,LR,0
258,1,1st,female,35,512.3,Cherbourg,LR,0
259,1,2nd,female,50,26.0,Southampton,LR,1
260,0,3rd,male,29,7.8,Queenstown,LR,0
261,1,3rd,male,3,31.4,Southampton,HR,1
262,0,1st,male,52,79.7,Southampton,LR,1
263,0,1st,male,40,0.0,Southampton,LR,0
264,0,3rd,female,29,7.8,Queenstown,LR,0
265,0,2nd,male,36,10.5,Southampton,LR,0
266,0,3rd,male,16,39.7,Southampton,LR,1
267,1,3rd,male,25,7.8,Southampton,LR,1
268,1,1st,female,58,153.5,Southampton,LR,1
269,1,1st,female,35,135.6,Southampton,LR,0
270,0,1st,male,29,31.0,Southampton,LR,0
271,1,3rd,male,25,0.0,Southampton,LR,0
272,1,2nd,female,41,19.5,Southampton,LR,1
273,0,1st,male,37,29.7,Cherbourg,LR,1
274,1,3rd,female,29,7.8,Queenstown,LR,0
275,1,1st,female,63,78.0,Southampton,LR,1
276,0,3rd,female,45,7.8,Southampton,LR,0
277,0,2nd,male,29,0.0,Southampton,LR,0
278,0,3rd,male,7,29.1,Queenstown,HR,1
279,1,3rd,female,35,20.2,Southampton,LR,1
280,0,3rd,male,65,7.8,Queenstown,LR,0
281,0,3rd,male,28,7.9,Southampton,LR,0
282,0,3rd,male,16,9.5,Southampton,LR,0
283,1,3rd,male,19,8.1,Southampton,LR,0
284,0,1st,male,29,26.0,Southampton,LR,0
285,0,3rd,male,33,8.7,Cherbourg,LR,0
286,1,3rd,male,30,9.5,Southampton,LR,0
287,0,3rd,male,22,7.9,Southampton,LR,0
288,1,2nd,male,42,13.0,Southampton,LR,0
289,1,3rd,female,22,7.8,Queenstown,LR,0
290,1,1st,female,26,78.8,Southampton,LR,0
291,1,1st,female,19,91.1,Cherbourg,LR,1
292,0,2nd,male,36,12.9,Cherbourg,LR,0
293,0,3rd,female,24,8.8,Southampton,LR,0
294,0,3rd,male,24,7.9,Southampton,LR,0
295,0,1st,male,29,27.7,Cherbourg,LR,0
296,0,3rd,male,23,7.2,Cherbourg,LR,0
297,0,1st,female,2,151.6,Southampton,LR,1
298,1,1st,male,29,30.5,Southampton,LR,0
299,1,1st,female,50,247.5,Cherbourg,LR,1
300,1,3rd,female,29,7.8,Queenstown,LR,0
301,1,3rd,male,29,23.2,Queenstown,LR,1
302,0,3rd,male,19,0.0,Southampton,LR,0
303,1,2nd,female,29,12.3,Queenstown,LR,0
304,0,3rd,male,29,8.1,Southampton,LR,0
305,1,1st,male,0,151.6,Southampton,HR,1
306,1,1st,female,29,110.9,Cherbourg,LR,0
307,1,1st,female,17,108.9,Cherbourg,LR,1
308,0,2nd,male,30,24.0,Cherbourg,LR,1
309,1,1st,female,30,56.9,Cherbourg,LR,0
310,1,1st,female,24,83.2,Cherbourg,LR,0
311,1,1st,female,18,262.4,Cherbourg,LR,1
312,0,2nd,female,26,26.0,Southampton,LR,1
313,0,3rd,male,28,7.9,Southampton,LR,0
314,0,2nd,male,43,26.2,Southampton,LR,1
315,1,3rd,female,26,7.9,Southampton,LR,0
316,1,2nd,female,24,26.0,Southampton,LR,1
317,0,2nd,male,54,14.0,Southampton,HR,0
318,1,1st,female,31,164.9,Southampton,LR,1
319,1,1st,female,40,134.5,Cherbourg,LR,1
320,0,3rd,male,22,7.2,Southampton,LR,0
321,0,3rd,male,27,7.9,Southampton,LR,0
322,1,2nd,female,30,12.3,Queenstown,LR,0
323,1,2nd,female,22,29.0,Southampton,LR,1
324,0,3rd,male,29,69.5,Southampton,LR,1
325,1,1st,female,36,135.6,Cherbourg,LR,0
326,0,3rd,male,61,6.2,Southampton,LR,0
327,1,2nd,female,36,13.0,Southampton,LR,0
328,1,3rd,female,31,20.5,Southampton,LR,1
329,1,1st,female,16,58.0,Cherbourg,LR,1
330,1,3rd,female,29,23.2,Queenstown,LR,1
331,0,1st,male,45,28.5,Southampton,LR,0
332,0,1st,male,38,153.5,Southampton,LR,1
333,0,3rd,male,16,18.0,Southampton,LR,1
334,1,1st,female,29,133.7,Southampton,LR,1
335,0,3rd,male,29,7.9,Southampton,LR,0
336,0,1st,male,29,66.6,Southampton,LR,1
337,1,1st,female,41,134.5,Cherbourg,LR,0
338,1,3rd,male,45,8.1,Southampton,LR,0
339,0,1st,male,45,35.5,Southampton,LR,0
340,1,2nd,male,2,26.0,Southampton,HR,1
341,1,1st,female,24,263.0,Southampton,LR,1
342,0,2nd,male,28,13.0,Southampton,LR,0
343,0,2nd,male,25,13.0,Southampton,LR,0
344,0,2nd,male,36,13.0,Southampton,LR,0
345,1,2nd,female,24,13.0,Southampton,LR,0
346,1,2nd,female,40,13.0,Southampton,LR,0
347,1,3rd,female,29,16.1,Southampton,LR,1
348,1,3rd,male,3,15.9,Southampton,HR,1
349,0,3rd,male,42,8.7,Southampton,LR,0
350,0,3rd,male,23,9.2,Southampton,LR,0
351,0,1st,male,29,35.0,Southampton,LR,0
352,0,3rd,male,15,7.2,Cherbourg,LR,1
353,0,3rd,male,25,17.8,Southampton,LR,1
354,0,3rd,male,29,7.2,Cherbourg,LR,0
355,0,3rd,male,28,9.5,Southampton,LR,0
356,1,1st,female,22,55.0,Southampton,LR,1
357,0,2nd,female,38,13.0,Southampton,LR,0
358,1,3rd,female,29,7.9,Queenstown,LR,0
359,1,3rd,female,29,7.9,Queenstown,LR,0
360,0,3rd,male,40,27.9,Southampton,LR,1
361,0,2nd,male,29,27.7,Cherbourg,LR,1
362,0,3rd,female,45,14.5,Cherbourg,LR,1
363,0,3rd,male,35,7.0,Southampton,LR,0
364,0,3rd,male,29,15.5,Queenstown,LR,1
365,0,3rd,male,30,7.2,Southampton,LR,0
366,1,1st,female,60,75.2,Cherbourg,LR,1
367,1,3rd,female,29,7.2,Cherbourg,LR,0
368,1,3rd,female,29,7.8,Queenstown,LR,0
369,1,1st,female,24,69.3,Cherbourg,HR,0
370,1,1st,male,25,55.4,Cherbourg,LR,1
371,0,3rd,male,18,6.5,Southampton,LR,1
372,0,3rd,male,19,8.1,Southampton,LR,0
373,0,1st,male,22,135.6,Cherbourg,LR,0
374,0,3rd,female,3,21.1,Southampton,LR,1
375,1,1st,female,29,82.2,Cherbourg,LR,1
376,1,3rd,female,22,7.2,Southampton,LR,0
377,0,1st,male,27,211.5,Cherbourg,LR,1
378,0,3rd,male,20,4.0,Cherbourg,LR,0
379,0,3rd,male,19,7.8,Southampton,LR,0
380,1,1st,female,42,227.5,Cherbourg,LR,0
381,1,3rd,female,1,15.7,Cherbourg,LR,1
382,0,3rd,male,32,7.9,Southampton,LR,0
383,1,1st,female,35,52.0,Southampton,LR,1
384,0,3rd,male,29,7.9,Southampton,LR,0
385,0,2nd,male,18,73.5,Southampton,LR,0
386,0,3rd,male,1,46.9,Southampton,HR,1
387,1,2nd,female,36,13.0,Southampton,LR,0
388,0,3rd,male,29,7.7,Queenstown,LR,0
389,1,2nd,female,17,12.0,Cherbourg,LR,0
390,1,1st,male,36,120.0,Southampton,LR,1
391,1,3rd,male,21,7.8,Southampton,LR,0
392,0,3rd,male,28,7.9,Southampton,LR,1
393,1,1st,female,23,113.3,Cherbourg,LR,1
394,1,3rd,female,24,16.7,Southampton,LR,1
395,0,3rd,male,22,7.8,Southampton,LR,0
396,0,3rd,female,31,7.9,Southampton,LR,0
397,0,2nd,male,46,26.0,Southampton,LR,0
398,0,2nd,male,23,10.5,Southampton,HR,0
399,1,2nd,female,28,12.7,Southampton,LR,0
400,1,3rd,male,39,7.9,Southampton,LR,0
401,0,3rd,male,26,8.1,Southampton,LR,0
402,0,3rd,female,21,9.8,Southampton,LR,1
403,0,3rd,male,28,15.8,Southampton,LR,1
404,0,3rd,female,20,8.7,Southampton,LR,0
405,0,2nd,male,34,21.0,Southampton,LR,1
406,0,3rd,male,51,7.8,Southampton,LR,0
407,1,2nd,male,3,18.8,Southampton,HR,1
408,0,3rd,male,21,7.8,Southampton,LR,0
409,0,3rd,female,29,25.5,Southampton,LR,1
410,0,3rd,male,29,7.9,Southampton,LR,0
411,0,3rd,male,29,6.9,Queenstown,LR,0
412,1,1st,female,33,90.0,Queenstown,LR,1
413,0,2nd,male,29,0.0,Southampton,LR,0
414,1,3rd,male,44,7.9,Southampton,LR,0
415,0,3rd,female,29,8.1,Southampton,LR,0
416,1,2nd,female,34,32.5,Southampton,LR,1
417,1,2nd,female,18,13.0,Southampton,LR,1
418,0,2nd,male,30,13.0,Southampton,LR,0
419,0,3rd,female,10,24.1,Southampton,LR,1
420,0,3rd,male,29,7.9,Cherbourg,LR,0
421,0,3rd,male,21,7.7,Queenstown,LR,0
422,0,3rd,male,29,7.9,Southampton,LR,0
423,0,3rd,female,28,14.4,Southampton,LR,1
424,0,3rd,male,18,20.2,Southampton,LR,1
425,0,3rd,male,29,7.2,Southampton,LR,0
426,1,2nd,female,28,26.0,Southampton,LR,1
427,1,2nd,female,19,26.0,Southampton,LR,0
428,0,3rd,male,29,7.8,Queenstown,LR,0
429,1,3rd,male,32,8.1,Southampton,LR,0
430,1,1st,male,28,26.6,Southampton,LR,0
431,1,3rd,female,29,16.1,Southampton,LR,1
432,1,2nd,female,42,26.0,Southampton,LR,1
433,0,3rd,male,17,7.1,Southampton,LR,0
434,0,1st,male,50,55.9,Southampton,LR,1
435,1,1st,female,14,120.0,Southampton,LR,1
436,0,3rd,female,21,34.4,Southampton,LR,1
437,1,2nd,female,24,18.8,Southampton,LR,1
438,0,1st,male,64,263.0,Southampton,LR,1
439,0,2nd,male,31,10.5,Southampton,LR,0
440,1,2nd,female,45,26.2,Southampton,LR,1
441,0,3rd,male,20,9.5,Southampton,LR,0
442,0,3rd,male,25,7.8,Southampton,LR,1
443,1,2nd,female,28,13.0,Southampton,LR,0
444,1,3rd,male,29,8.1,Southampton,LR,0
445,1,1st,male,4,81.9,Southampton,HR,1
446,1,2nd,female,13,19.5,Southampton,LR,1
447,1,1st,male,34,26.6,Southampton,LR,0
448,1,3rd,female,5,19.3,Cherbourg,LR,1
449,1,1st,male,52,30.5,Southampton,HR,0
450,0,2nd,male,36,27.8,Southampton,LR,1
451,0,3rd,male,29,20.0,Southampton,LR,1
452,0,1st,male,30,27.8,Cherbourg,LR,0
453,1,1st,male,49,89.1,Cherbourg,LR,1
454,0,3rd,male,29,8.1,Southampton,LR,0
455,1,3rd,male,29,7.9,Cherbourg,LR,0
456,0,1st,male,65,26.6,Southampton,LR,0
457,1,1st,female,29,51.9,Southampton,LR,1
458,1,2nd,female,50,10.5,Southampton,LR,0
459,0,3rd,male,29,7.8,Queenstown,LR,0
460,1,1st,male,48,26.6,Southampton,LR,0
461,0,3rd,male,34,8.1,Southampton,LR,0
462,0,1st,male,47,38.5,Southampton,LR,0
463,0,2nd,male,48,13.0,Southampton,LR,0
464,0,3rd,male,29,8.1,Southampton,LR,0
465,0,3rd,male,38,7.0,Southampton,LR,0
466,0,2nd,male,29,0.0,Southampton,LR,0
467,0,1st,male,56,26.6,Southampton,LR,0
468,0,3rd,male,29,7.7,Queenstown,LR,0
469,1,3rd,female,0,19.3,Cherbourg,LR,1
470,0,3rd,male,29,7.2,Southampton,LR,0
471,0,3rd,male,38,8.7,Southampton,LR,0
472,1,2nd,female,33,27.8,Southampton,LR,1
473,1,2nd,female,23,13.8,Cherbourg,LR,0
474,0,3rd,female,22,9.8,Southampton,LR,0
475,0,1st,male,29,52.0,Southampton,LR,0
476,0,2nd,male,34,21.0,Southampton,LR,1
477,0,3rd,male,29,7.0,Southampton,LR,1
478,0,3rd,male,22,7.5,Southampton,LR,0
479,1,3rd,female,2,12.3,Southampton,LR,1
480,0,3rd,male,9,46.9,Southampton,HR,1
481,0,2nd,male,29,0.0,Southampton,LR,0
482,0,3rd,male,50,8.1,Southampton,LR,0
483,1,3rd,female,63,9.6,Southampton,LR,0
484,1,1st,male,25,91.1,Cherbourg,LR,1
485,0,3rd,female,29,25.5,Southampton,LR,1
486,1,1st,female,35,90.0,Southampton,LR,1
487,0,1st,male,58,29.7,Cherbourg,LR,0
488,0,3rd,male,30,8.1,Southampton,LR,0
489,1,3rd,male,9,15.9,Southampton,HR,1
490,0,3rd,male,29,20.0,Southampton,LR,1
491,0,3rd,male,21,7.2,Southampton,LR,0
492,0,1st,male,55,30.5,Southampton,LR,0
493,0,1st,male,71,49.5,Cherbourg,LR,0
494,0,3rd,male,21,8.1,Southampton,LR,0
495,0,3rd,male,29,14.5,Cherbourg,LR,0
496,1,1st,female,54,78.3,Cherbourg,LR,1
497,0,3rd,male,29,15.1,Southampton,LR,0
498,0,1st,female,25,151.6,Southampton,LR,1
499,0,3rd,male,24,7.8,Southampton,LR,0
500,0,3rd,male,17,8.7,Southampton,LR,0
501,0,3rd,female,21,7.8,Queenstown,LR,0
502,0,3rd,female,29,7.6,Queenstown,LR,0
503,0,3rd,female,37,9.6,Southampton,LR,0
504,1,1st,female,16,86.5,Southampton,LR,0
505,0,1st,male,18,108.9,Cherbourg,LR,1
506,1,2nd,female,33,26.0,Southampton,LR,1
507,1,1st,male,29,26.6,Southampton,LR,0
508,0,3rd,male,28,22.5,Southampton,LR,0
509,1,3rd,male,26,56.5,Southampton,LR,0
510,1,3rd,male,29,7.8,Queenstown,LR,0
511,0,3rd,male,29,8.1,Southampton,LR,0
512,1,1st,male,36,26.3,Southampton,LR,0
513,1,1st,female,54,59.4,Cherbourg,LR,1
514,0,3rd,male,24,7.5,Southampton,LR,0
515,0,1st,male,47,34.0,Southampton,LR,0
516,1,2nd,female,34,10.5,Southampton,LR,0
517,0,3rd,male,29,24.1,Queenstown,LR,0
518,1,2nd,female,36,26.0,Southampton,LR,1
519,0,3rd,male,32,7.9,Southampton,LR,0
520,1,1st,female,30,93.5,Southampton,LR,0
521,0,3rd,male,22,7.9,Southampton,LR,0
522,0,3rd,male,29,7.2,Cherbourg,LR,0
523,1,1st,female,44,58.0,Cherbourg,LR,1
524,0,3rd,male,29,7.2,Cherbourg,LR,0
525,0,3rd,male,40,7.8,Queenstown,LR,0
526,1,2nd,female,50,10.5,Southampton,LR,0
527,0,1st,male,29,221.8,Southampton,LR,0
528,0,3rd,male,39,7.9,Southampton,LR,0
529,0,2nd,male,23,11.5,Southampton,LR,1
530,1,2nd,female,2,26.0,Southampton,LR,1
