,Name,Platform,Year,Genre,Publisher,Sales,region
88,Pokémon Platinum Version,DS,2008,Role-Playing,Nintendo,2.82,NA
89,Pac-Man,2600,1982,Puzzle,Atari,7.28,NA
90,Grand Theft Auto: Liberty City Stories,PSP,2005,Action,Take-Two Interactive,2.9,NA
91,Super Mario Galaxy 2,Wii,2010,Platform,Nintendo,3.66,NA
92,Star Wars Battlefront (2015),PS4,2015,Shooter,Electronic Arts,2.93,NA
93,Call of Duty: Advanced Warfare,PS4,2014,Shooter,Activision,2.8,NA
94,The Legend of Zelda: Ocarina of Time,N64,1998,Action,Nintendo,4.1,NA
95,Crash Bandicoot 2: Cortex Strikes Back,PS,1997,Platform,Sony Computer Entertainment,3.78,NA
96,Super Mario Bros. 2,NES,1988,Platform,Nintendo,5.39,NA
97,Super Smash Bros. for Wii U and 3DS,3DS,2014,Fighting,Nintendo,3.24,NA
98,Call of Duty: World at War,X360,2008,Shooter,Activision,4.79,NA
99,Battlefield 3,X360,2011,Shooter,Electronic Arts,4.46,NA
100,The Legend of Zelda: Twilight Princess,Wii,2006,Action,Nintendo,3.83,NA
101,Call of Duty: Black Ops 3,XOne,2015,Shooter,Activision,4.52,NA
102,Just Dance,Wii,2009,Misc,Ubisoft,3.51,NA
103,Battlefield 3,PS3,2011,Shooter,Electronic Arts,2.85,NA
104,Need for Speed Underground,PS2,2003,Racing,Electronic Arts,3.27,NA
105,Tekken 3,PS,1998,Fighting,Sony Computer Entertainment,3.27,NA
106,Crash Bandicoot 3: Warped,PS,1998,Platform,Sony Computer Entertainment,3.68,NA
107,Super Smash Bros. Melee,GC,2001,Fighting,Nintendo,4.41,NA
108,Mario Kart 8,WiiU,2014,Racing,Nintendo,3.13,NA
109,Fallout 4,PS4,2015,Role-Playing,Bethesda Softworks,2.47,NA
110,Mario Kart: Double Dash!!,GC,2003,Racing,Nintendo,4.12,NA
111,Just Dance 4,Wii,2012,Misc,Ubisoft,4.14,NA
112,FIFA 14,PS3,2013,Sports,Electronic Arts,0.78,NA
113,Need for Speed Underground 2,PS2,2004,Racing,Electronic Arts,2.71,NA
114,Medal of Honor: Frontline,PS2,2002,Shooter,Electronic Arts,2.93,NA
115,Uncharted 3: Drake's Deception,PS3,2011,Action,Sony Computer Entertainment,2.77,NA
116,Crash Bandicoot,PS,1996,Platform,Sony Computer Entertainment,3.23,NA
118,Gears of War 2,X360,2008,Shooter,Microsoft Game Studios,4.15,NA
119,Uncharted 2: Among Thieves,PS3,2009,Action,Sony Computer Entertainment,3.27,NA
120,Call of Duty 4: Modern Warfare,PS3,2007,Shooter,Activision,3.1,NA
121,FIFA 12,PS3,2011,Sports,Electronic Arts,0.84,NA
122,Big Brain Academy,DS,2005,Misc,Nintendo,1.67,NA
123,Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,NA
124,FIFA 15,PS4,2014,Sports,Electronic Arts,0.79,NA
125,Donkey Kong Country Returns,Wii,2010,Platform,Nintendo,3.25,NA
126,The Elder Scrolls V: Skyrim,PS3,2011,Role-Playing,Bethesda Softworks,2.55,NA
127,The Legend of Zelda,NES,1986,Action,Nintendo,3.74,NA
128,Assassin's Creed III,PS3,2012,Action,Ubisoft,2.64,NA
129,Halo: Combat Evolved,XB,2001,Shooter,Microsoft Game Studios,4.98,NA
130,Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,2.57,NA
131,Kingdom Hearts,PS2,2002,Role-Playing,Sony Computer Entertainment,3.64,NA
132,Pokémon Crystal Version,GB,2000,Role-Playing,Nintendo,2.55,NA
133,Halo 3: ODST,X360,2009,Shooter,Microsoft Game Studios,4.34,NA
134,Red Dead Redemption,X360,2010,Action,Take-Two Interactive,3.7,NA
135,Super Mario Sunshine,GC,2002,Platform,Nintendo,4.01,NA
136,Street Fighter II: The World Warrior,SNES,1992,Fighting,Capcom,2.47,NA
137,World of Warcraft,PC,2004,Role-Playing,Activision,0.07,NA
139,Kinect Sports,X360,2010,Sports,Microsoft Game Studios,3.92,NA
140,Gears of War 3,X360,2011,Shooter,Microsoft Game Studios,4.05,NA
141,Gears of War,X360,2006,Shooter,Microsoft Game Studios,3.54,NA
142,Metal Gear Solid 2: Sons of Liberty,PS2,2001,Action,Konami Digital Entertainment,2.45,NA
143,Sonic the Hedgehog 2,GEN,1992,Platform,Sega,4.47,NA
144,Metal Gear Solid 4: Guns of the Patriots,PS3,2008,Action,Konami Digital Entertainment,2.63,NA
145,Metal Gear Solid,PS,1998,Action,Konami Digital Entertainment,3.18,NA
147,Final Fantasy XII,PS2,2006,Role-Playing,Square Enix,1.88,NA
148,LittleBigPlanet,PS3,2008,Platform,Sony Computer Entertainment,2.8,NA
149,Dragon Quest IX: Sentinels of the Starry Skies,DS,2009,Role-Playing,Nintendo,0.66,NA
150,LEGO Star Wars: The Complete Saga,Wii,2007,Action,LucasArts,3.66,NA
152,Tekken 2,PS,1996,Fighting,Sony Computer Entertainment,2.26,NA
154,Destiny,PS4,2014,Shooter,Activision,2.49,NA
155,Tetris,NES,1988,Puzzle,Nintendo,2.97,NA
156,Assassin's Creed II,PS3,2009,Action,Ubisoft,2.54,NA
157,Super Smash Bros.,N64,1999,Fighting,Nintendo,2.95,NA
158,Assassin's Creed,X360,2007,Adventure,Ubisoft,3.28,NA
159,Batman: Arkham City,PS3,2011,Action,Warner Bros. Interactive Entertainment,2.7,NA
160,Forza Motorsport 3,X360,2009,Racing,Microsoft Game Studios,2.99,NA
161,Monster Hunter Freedom Unite,PSP,2008,Role-Playing,Capcom,0.47,NA
162,Super Mario Advance,GBA,2001,Platform,Nintendo,3.14,NA
163,Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,NA
164,Super Mario World,GBA,2001,Platform,Nintendo,3.21,NA
165,Pokemon Stadium,N64,1999,Strategy,Nintendo,3.18,NA
166,Call of Duty: World at War,PS3,2008,Shooter,Activision,2.72,NA
168,Minecraft,PS3,2014,Misc,Sony Computer Entertainment,1.97,NA
169,Final Fantasy XIII,PS3,2009,Role-Playing,Square Enix,1.74,NA
170,Dr. Mario,GB,1989,Puzzle,Nintendo,2.18,NA
171,Pokemon Pinball,GB,1999,Misc,Nintendo,3.02,NA
172,Assassin's Creed III,X360,2012,Action,Ubisoft,3.13,NA
174,Final Fantasy X-2,PS2,2003,Role-Playing,Electronic Arts,1.92,NA
175,Donkey Kong 64,N64,1999,Platform,Nintendo,3.33,NA
176,Assassin's Creed II,X360,2009,Action,Ubisoft,3.1,NA
177,Professor Layton and the Curious Village,DS,2007,Puzzle,Nintendo,1.22,NA
178,Tomb Raider II,PS,1997,Action,Eidos Interactive,2.3,NA
180,Dragon Quest VIII: Journey of the Cursed King,PS2,2004,Role-Playing,Square Enix,0.65,NA
181,Diablo III,PC,2012,Role-Playing,Activision,2.43,NA
182,Super Mario Bros. 3,GBA,2003,Platform,Nintendo,2.93,NA
183,New Super Mario Bros. U,WiiU,2012,Platform,Nintendo,2.32,NA
184,Super Mario Land 3: Wario Land,GB,1994,Platform,Nintendo,2.49,NA
185,FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.08,NA
186,The Legend of Zelda: Phantom Hourglass,DS,2007,Action,Nintendo,1.9,NA
187,Donkey Kong Country 2: Diddy's Kong Quest,SNES,1995,Platform,Nintendo,2.1,NA
188,Tomodachi Life,3DS,2013,Simulation,Nintendo,0.96,NA
189,Mario & Sonic at the Olympic Games,DS,2008,Sports,Sega,1.64,NA
190,Medal of Honor: Rising Sun,PS2,2003,Shooter,Electronic Arts,1.98,NA
191,Kirby's Dream Land,GB,1992,Platform,Nintendo,2.71,NA
192,Fable III,X360,2010,Role-Playing,Microsoft Game Studios,3.59,NA
193,Call of Duty: Advanced Warfare,XOne,2014,Shooter,Activision,3.21,NA
194,Microsoft Flight Simulator,PC,1996,Simulation,Microsoft Game Studios,3.22,NA
196,Resident Evil 5,PS3,2009,Action,Capcom,1.96,NA
197,Grand Theft Auto V,XOne,2014,Action,Take-Two Interactive,2.66,NA
198,Grand Theft Auto: Vice City Stories,PSP,2006,Action,Take-Two Interactive,1.7,NA
199,FIFA Soccer 11,PS3,2010,Sports,Electronic Arts,0.6,NA
200,Super Mario Bros.,GB,1999,Platform,Nintendo,3.4,NA
202,Tony Hawk's Pro Skater,PS,1999,Sports,Activision,3.42,NA
203,Super Smash Bros. for Wii U and 3DS,WiiU,2014,Fighting,Nintendo,2.59,NA
204,Warzone 2100,PS,1999,Strategy,Eidos Interactive,2.79,NA
205,Spyro the Dragon,PS,1998,Platform,Sony Computer Entertainment,3.36,NA
206,Link's Crossbow Training,Wii,2007,Shooter,Nintendo,3.06,NA
207,Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,3.49,NA
208,Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.39,NA
209,Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness,DS,2007,Role-Playing,Nintendo,1.85,NA
210,Uncharted: Drake's Fortune,PS3,2007,Action,Sony Computer Entertainment,2.31,NA
211,Madden NFL 06,PS2,2005,Sports,Electronic Arts,3.98,NA
212,LEGO Star Wars: The Complete Saga,DS,2007,Action,LucasArts,2.89,NA
213,Diddy Kong Racing,N64,1997,Racing,Nintendo,2.91,NA
214,Monster Hunter Freedom 3,PSP,2010,Role-Playing,Capcom,0.0,NA
215,Dr. Mario,NES,1990,Puzzle,Nintendo,2.62,NA
216,God of War III,PS3,2010,Action,Sony Computer Entertainment,2.74,NA
217,StarCraft II: Wings of Liberty,PC,2010,Strategy,Activision,2.56,NA
218,Assassin's Creed,PS3,2007,Adventure,Ubisoft,1.91,NA
219,FIFA 15,PS3,2014,Sports,Electronic Arts,0.57,NA
220,Crash Team Racing,PS,1999,Racing,Sony Computer Entertainment,2.57,NA
221,FIFA 17,PS4,2016,Sports,Electronic Arts,0.28,NA
222,Batman: Arkham City,X360,2011,Action,Warner Bros. Interactive Entertainment,2.99,NA
223,Driver 2,PS,2000,Action,Atari,2.36,NA
225,Tony Hawk's Pro Skater 2,PS,2000,Sports,Activision,3.05,NA
226,Animal Crossing: City Folk,Wii,2008,Simulation,Nintendo,1.87,NA
227,The Lord of the Rings: The Two Towers,PS2,2002,Action,Electronic Arts,1.94,NA
228,Forza Motorsport 4,X360,2011,Racing,Microsoft Game Studios,2.08,NA
229,Tomb Raider,PS,1996,Action,Eidos Interactive,2.29,NA
230,Guitar Hero III: Legends of Rock,Wii,2007,Misc,Activision,3.06,NA
231,The Legend of Zelda: A Link to the Past,SNES,1991,Action,Nintendo,2.42,NA
232,The Legend of Zelda: The Wind Waker,GC,2002,Action,Nintendo,2.6,NA
233,Mario & Sonic at the Olympic Winter Games,Wii,2009,Sports,Sega,1.89,NA
234,Luigi's Mansion: Dark Moon,3DS,2013,Action,Nintendo,1.78,NA
235,Splatoon,WiiU,2015,Shooter,Nintendo,1.55,NA
236,The Last of Us,PS4,2014,Action,Sony Computer Entertainment,1.78,NA
237,Guitar Hero III: Legends of Rock,X360,2007,Misc,Activision,3.19,NA
238,Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.18,NA
239,Pitfall!,2600,1981,Platform,Activision,4.21,NA
240,Madden NFL 07,PS2,2006,Sports,Electronic Arts,3.63,NA
241,Spider-Man: The Movie,PS2,2002,Action,Activision,2.71,NA
243,Uncharted: The Nathan Drake Collection,PS4,2015,Action,Sony Computer Entertainment,1.96,NA
244,Call of Duty: Advanced Warfare,PS3,2014,Shooter,Activision,1.54,NA
245,God of War,PS2,2005,Action,Sony Computer Entertainment,2.71,NA
246,Nintendo Land,WiiU,2012,Misc,Nintendo,2.55,NA
247,Michael Jackson: The Experience,Wii,2010,Misc,Ubisoft,2.67,NA
248,Tony Hawk's Pro Skater 3,PS2,2001,Sports,Activision,2.66,NA
249,Winning Eleven: Pro Evolution Soccer 2007,PS2,2006,Sports,Konami Digital Entertainment,0.1,NA
250,The Elder Scrolls IV: Oblivion,X360,2006,Role-Playing,Take-Two Interactive,2.82,NA
251,Zelda II: The Adventure of Link,NES,1987,Adventure,Nintendo,2.19,NA
252,Need for Speed: Most Wanted,PS2,2005,Racing,Electronic Arts,2.03,NA
253,Resistance: Fall of Man,PS3,2006,Shooter,Sony Computer Entertainment,1.73,NA
254,Sonic the Hedgehog,GEN,1991,Platform,Sega,3.03,NA
255,Kingdom Hearts II,PS2,2005,Role-Playing,Square Enix,2.2,NA
256,FIFA 14,X360,2013,Sports,Electronic Arts,0.92,NA
257,Call of Duty: Advanced Warfare,X360,2014,Shooter,Activision,2.75,NA
258,Asteroids,2600,1980,Shooter,Atari,4.0,NA
259,Fable II,X360,2008,Role-Playing,Microsoft Game Studios,2.51,NA
260,Halo 5: Guardians,XOne,2015,Shooter,Microsoft Game Studios,2.64,NA
261,Super Mario 3D World,WiiU,2013,Platform,Nintendo,2.11,NA
262,Batman: Arkham Asylum,PS3,2009,Action,Eidos Interactive,2.23,NA
263,Assassin's Creed: Revelations,PS3,2011,Action,Ubisoft,1.41,NA
264,Namco Museum,GBA,2001,Misc,Namco Bandai Games,3.0,NA
265,Metal Gear Solid 3: Snake Eater,PS2,2004,Action,Konami Digital Entertainment,1.46,NA
266,Daxter,PSP,2006,Platform,Sony Computer Entertainment,2.45,NA
267,Warcraft II: Tides of Darkness,PC,1995,Strategy,Activision,1.7,NA
268,The Legend of Zelda: Ocarina of Time,3DS,2011,Action,Nintendo,2.03,NA
269,FIFA Soccer 06,PS2,2005,Sports,Electronic Arts,0.78,NA
270,EyeToy Play,PS2,2003,Misc,Sony Computer Entertainment,0.88,NA
271,Uncharted 4: A Thief's End,PS4,2016,Shooter,Sony Computer Entertainment,1.3,NA
272,Gran Turismo 5 Prologue,PS3,2007,Racing,Sony Computer Entertainment,1.28,NA
273,Assassin's Creed: Revelations,X360,2011,Action,Ubisoft,2.25,NA
274,Street Fighter IV,PS3,2009,Fighting,Capcom,2.02,NA
275,FIFA 12,X360,2011,Sports,Electronic Arts,0.84,NA
277,Excitebike,NES,1984,Racing,Nintendo,2.04,NA
279,Madden NFL 2003,PS2,2002,Sports,Electronic Arts,3.36,NA
280,Watch Dogs,PS4,2014,Action,Ubisoft,1.4,NA
282,Super Mario World 2: Yoshi's Island,SNES,1995,Platform,Nintendo,1.65,NA
283,FIFA Soccer 07,PS2,2006,Sports,Electronic Arts,0.71,NA
284,The Legend of Zelda: Skyward Sword,Wii,2011,Action,Nintendo,2.14,NA
285,Street Fighter II Turbo,SNES,1992,Fighting,Capcom,1.42,NA
286,Carnival Games,Wii,2007,Misc,Take-Two Interactive,2.13,NA
287,Fallout 4,XOne,2015,Role-Playing,Bethesda Softworks,2.45,NA
288,World of Warcraft: The Burning Crusade,PC,2007,Role-Playing,Activision,2.57,NA
289,Fallout: New Vegas,X360,2010,Role-Playing,Bethesda Softworks,2.65,NA
290,God of War II,PS2,2007,Action,Sony Computer Entertainment,2.32,NA
291,Forza Motorsport 2,X360,2007,Racing,Microsoft Game Studios,2.35,NA
292,World Soccer Winning Eleven 9,PS2,2005,Sports,Konami Digital Entertainment,0.12,NA
293,Namco Museum Vol.3,PS,1996,Misc,Sony Computer Entertainment,2.28,NA
294,Tekken Tag Tournament,PS2,2000,Fighting,Namco Bandai Games,1.68,NA
295,Far Cry 4,PS4,2014,Shooter,Ubisoft,1.12,NA
296,Star Fox 64,N64,1997,Shooter,Nintendo,2.78,NA
298,Golf,NES,1984,Sports,Nintendo,1.22,NA
299,Fallout 3,PS3,2008,Role-Playing,Bethesda Softworks,2.15,NA
300,Professor Layton and the Diabolical Box,DS,2007,Puzzle,Nintendo,0.92,NA
301,Left 4 Dead 2,X360,2009,Shooter,Electronic Arts,2.67,NA
302,Namco Museum: 50th Anniversary,PS2,2005,Misc,Namco Bandai Games,2.08,NA
303,EA Sports Active,Wii,2009,Sports,Electronic Arts,2.1,NA
304,Assassin's Creed: Unity,PS4,2014,Action,Ubisoft,1.18,NA
305,Donkey Kong Land,GB,1994,Platform,Nintendo,1.97,NA
306,Tony Hawk's Underground,PS2,2003,Sports,Activision,2.29,NA
307,Assassin's Creed IV: Black Flag,PS3,2013,Action,Ubisoft,1.33,NA
308,Monster Hunter 4 Ultimate,3DS,2014,Role-Playing,Nintendo,0.67,NA
309,MotorStorm,PS3,2006,Racing,Sony Computer Entertainment,1.53,NA
310,The Elder Scrolls V: Skyrim,PC,2011,Role-Playing,Bethesda Softworks,1.15,NA
311,Tekken 5,PS2,2005,Fighting,Namco Bandai Games,0.93,NA
313,Sports Champions,PS3,2010,Sports,Sony Computer Entertainment,2.12,NA
314,NBA 2K16,PS4,2015,Sports,Take-Two Interactive,2.48,NA
315,World Soccer Winning Eleven 8 International,PS2,2004,Sports,Konami Digital Entertainment,0.16,NA
316,Flash Focus: Vision Training in Minutes a Day,DS,2007,Misc,Nintendo,0.87,NA
317,Namco Museum Vol.1,PS,1995,Misc,Sony Computer Entertainment,2.12,NA
318,The Legend of Zelda: Link's Awakening,GB,1992,Action,Nintendo,2.21,NA
319,Mario & Luigi: Bowser's Inside Story,DS,2009,Role-Playing,Nintendo,2.26,NA
320,Big Brain Academy: Wii Degree,Wii,2007,Misc,Nintendo,1.06,NA
321,Nintendogs + cats,3DS,2011,Simulation,Nintendo,1.44,NA
322,Batman: Arkham Knight,PS4,2015,Action,Warner Bros. Interactive Entertainment,1.49,NA
323,Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,Sega,1.14,NA
324,LEGO Indiana Jones: The Original Adventures,X360,2008,Action,Activision,2.4,NA
326,Ratchet & Clank: Size Matters,PSP,2007,Platform,Sony Computer Entertainment,1.4,NA
327,Just Dance 2014,Wii,2013,Misc,Ubisoft,1.98,NA
328,The Sims: Unleashed,PC,2002,Simulation,Electronic Arts,2.03,NA
329,Super Paper Mario,Wii,2007,Platform,Nintendo,1.98,NA
330,Harry Potter and the Sorcerer's Stone,PS,2001,Action,Electronic Arts,1.37,NA
331,The Witcher 3: Wild Hunt,PS4,2015,Role-Playing,Namco Bandai Games,0.96,NA
332,Resident Evil 3: Nemesis,PS,1999,Action,Eidos Interactive,1.3,NA
333,Spyro: Year of the Dragon,PS,2000,Platform,Sony Computer Entertainment,1.93,NA
334,FIFA Soccer 2005,PS2,2004,Sports,Electronic Arts,0.58,NA
335,Pokémon Trading Card Game,GB,1998,Strategy,Nintendo,1.49,NA
336,Battlefield 4,PS3,2013,Shooter,Electronic Arts,1.3,NA
337,MySims,DS,2007,Simulation,Electronic Arts,1.59,NA
338,Friend Collection,DS,2009,Misc,Nintendo,0.0,NA
339,Tony Hawk's Pro Skater 4,PS2,2002,Sports,Activision,2.13,NA
340,Midnight Club 3: DUB Edition,PSP,2005,Racing,Take-Two Interactive,1.65,NA
341,Banjo-Kazooie,N64,1998,Platform,Nintendo,1.87,NA
342,SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,Sony Computer Entertainment,2.53,NA
343,Guitar Hero: World Tour,Wii,2008,Misc,Activision,2.33,NA
344,Gran Turismo 6,PS3,2013,Racing,Sony Computer Entertainment,0.71,NA
345,Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,Sony Computer Entertainment,2.08,NA
346,Pokemon Snap,N64,1999,Simulation,Nintendo,2.23,NA
347,FIFA Soccer 10,PS3,2009,Sports,Electronic Arts,0.6,NA
348,Pro Evolution Soccer 2008,PS2,2007,Sports,Konami Digital Entertainment,0.05,NA
349,Call of Duty: Ghosts,PS4,2013,Shooter,Activision,1.78,NA
350,Resident Evil 4,PS2,2005,Action,Capcom,2.08,NA
351,Tom Clancy's The Division,PS4,2016,Shooter,Ubisoft,1.28,NA
352,Star Wars: Battlefront,PS2,2004,Shooter,LucasArts,1.93,NA
354,The Simpsons: Road Rage,PS2,2001,Racing,Electronic Arts,2.02,NA
356,Luigi's Mansion,GC,2001,Action,Nintendo,2.38,NA
357,Star Wars: Battlefront II,PS2,2005,Shooter,LucasArts,2.18,NA
358,WWF SmackDown!,PS,2000,Fighting,THQ,2.01,NA
360,Grand Theft Auto: Liberty City Stories,PS2,2006,Action,Take-Two Interactive,1.56,NA
361,The Getaway,PS2,2002,Action,Sony Computer Entertainment,1.23,NA
362,Tomb Raider III: Adventures of Lara Croft,PS,1997,Action,Eidos Interactive,1.66,NA
363,James Bond 007: Agent Under Fire,PS2,2001,Shooter,Electronic Arts,1.9,NA
364,LEGO Star Wars: The Video Game,PS2,2005,Action,Eidos Interactive,1.98,NA
365,Battlefield 4,X360,2013,Shooter,Electronic Arts,2.14,NA
366,FIFA Soccer 11,X360,2010,Sports,Electronic Arts,0.71,NA
367,Rugrats in Paris: The Movie,PS,2000,Action,THQ,1.96,NA
368,Spyro 2: Ripto's Rage!,PS,1999,Platform,Sony Computer Entertainment,2.14,NA
369,Left 4 Dead,X360,2008,Shooter,Electronic Arts,2.66,NA
370,Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,Sega,1.22,NA
